Index,Ag,Au,Cu,Pd,Pt
1,26.46,40.69,3.87,15.27,13.7
2,24.33,39.08,4.89,17.35,14.36
3,24.49,37.09,6.1,19.41,12.91
4,22.46,36.36,5.88,21.28,14.01
5,21.31,34.2,6.55,24.32,13.62
6,19.42,32.89,8.12,26.62,12.95
7,19.46,31.45,7.47,28.73,12.9
8,17.35,29.42,8.19,32.33,12.72
9,14.97,27.38,9.3,35.72,12.62
10,14.2,24.77,9.89,38.41,12.73
11,12.84,22.85,10.66,41.68,11.97
12,28.73,38.87,5.16,13.43,13.8
13,27.37,37.23,6.0,14.89,14.51
14,26.21,36.59,6.25,16.33,14.62
15,23.97,35.8,6.17,19.44,14.61
16,23.19,34.84,6.53,20.68,14.76
17,21.34,33.03,7.32,24.09,14.23
18,20.49,31.33,8.08,26.4,13.69
19,18.21,29.53,8.85,29.53,13.89
20,17.31,27.96,9.57,31.51,13.66
21,16.96,25.28,10.17,34.33,13.26
22,15.01,24.31,10.57,37.21,12.9
23,13.94,21.79,11.76,39.87,12.64
24,12.94,20.46,11.28,43.03,12.28
25,31.86,37.46,5.01,10.42,15.24
26,30.43,36.91,5.27,12.49,14.89
27,28.52,36.17,5.65,14.26,15.41
28,27.56,35.22,6.27,15.92,15.02
29,26.07,33.07,6.71,18.77,15.37
30,23.81,32.61,7.51,20.55,15.51
31,22.79,31.13,7.73,22.99,15.36
32,20.62,29.7,8.65,25.64,15.38
33,19.57,28.14,8.86,28.63,14.8
34,18.63,26.0,9.96,30.58,14.84
35,16.46,24.42,11.53,33.54,14.05
36,15.06,23.05,11.27,36.37,14.24
37,14.79,20.96,11.6,39.26,13.4
38,13.35,18.91,12.93,41.35,13.46
39,11.46,17.25,12.77,45.41,13.1
40,34.22,35.74,4.9,9.89,15.24
41,32.51,35.53,4.93,11.23,15.8
42,31.36,34.61,5.74,11.66,16.63
43,29.33,33.82,6.69,14.12,16.04
44,28.19,33.11,5.98,15.93,16.8
45,26.27,32.12,7.09,17.93,16.59
46,24.22,30.35,8.84,20.2,16.38
47,23.0,30.11,8.29,22.21,16.39
48,21.9,27.09,9.22,25.17,16.62
49,20.22,26.29,10.06,26.99,16.43
50,18.83,24.07,11.32,30.14,15.64
51,16.97,22.97,11.28,33.33,15.45
52,16.48,21.22,11.95,35.02,15.35
53,14.4,19.23,12.97,38.46,14.95
54,13.33,18.36,14.1,40.0,14.21
55,12.23,16.68,13.58,43.73,13.78
56,12.27,14.64,15.07,45.43,12.59
57,37.14,34.17,4.41,8.36,15.92
58,35.94,34.05,4.49,8.98,16.53
59,33.18,33.18,5.62,10.62,17.4
60,32.63,32.63,5.51,11.86,17.37
61,30.24,31.91,6.68,14.01,17.16
62,28.95,31.08,7.03,15.36,17.58
63,26.78,30.24,7.71,17.0,18.28
64,26.34,28.41,7.43,19.94,17.87
65,24.27,27.79,8.51,21.33,18.1
66,22.74,26.09,9.54,23.55,18.07
67,21.06,24.78,10.77,25.66,17.73
68,19.48,23.94,10.67,28.7,17.2
69,17.7,21.95,11.9,31.68,16.77
70,15.95,20.66,12.42,34.8,16.17
71,14.69,18.47,14.08,36.94,15.82
72,13.31,17.2,14.12,40.02,15.35
73,12.79,15.07,15.49,42.0,14.66
74,12.64,13.26,16.17,44.25,13.68
75,10.25,12.26,16.28,47.57,13.64
76,37.69,32.26,5.01,7.56,17.49
77,36.4,32.02,4.65,8.68,18.25
78,34.09,31.02,6.33,10.19,18.37
79,33.39,30.33,5.86,11.1,19.32
80,31.86,30.36,6.02,12.97,18.8
81,29.92,29.36,6.56,14.68,19.48
82,27.46,27.85,7.98,17.04,19.67
83,25.73,27.18,8.8,18.86,19.44
84,24.33,25.38,9.98,20.72,19.58
85,22.96,24.26,10.56,23.06,19.17
86,21.91,22.68,11.48,24.98,18.95
87,20.12,21.13,11.27,28.87,18.61
88,18.28,20.23,12.83,30.39,18.28
89,16.73,18.11,14.27,32.97,17.91
90,15.11,17.1,14.21,36.28,17.3
91,14.06,15.33,15.43,38.77,16.41
92,12.65,14.68,15.79,41.09,15.79
93,11.88,12.6,17.29,43.33,14.9
94,11.34,11.95,17.57,45.35,13.79
95,40.44,30.96,4.4,6.18,18.02
96,38.74,30.01,4.9,7.73,18.62
97,37.15,29.37,5.77,7.95,19.76
98,35.33,29.0,5.27,10.11,20.3
99,33.36,28.91,5.69,11.3,20.73
100,32.64,27.88,6.92,11.96,20.59
101,30.68,26.99,7.12,14.33,20.89
102,29.12,26.07,7.8,15.89,21.12
103,26.81,25.42,9.3,17.51,20.97
104,25.36,23.92,9.19,20.38,21.15
105,23.65,22.95,10.18,22.26,20.96
106,21.07,21.25,12.45,24.63,20.6
107,20.63,19.84,12.81,26.69,20.04
108,18.61,18.3,14.01,28.94,20.14
109,16.9,17.49,14.33,31.82,19.47
110,15.64,15.83,15.55,34.07,18.91
111,13.86,14.17,16.82,36.6,18.55
112,13.47,13.37,17.89,38.79,16.48
113,11.85,11.96,17.93,41.74,16.51
114,11.03,11.24,17.84,44.23,15.67
115,10.73,10.01,19.0,45.86,14.4
116,41.17,28.48,4.59,6.3,19.46
117,39.74,28.06,4.72,7.2,20.28
118,37.51,27.85,5.65,8.19,20.8
119,36.56,27.31,4.92,9.58,21.63
120,35.14,26.84,5.84,10.25,21.93
121,32.79,25.59,7.01,12.02,22.59
122,30.54,25.23,7.93,13.42,22.88
123,29.67,24.04,8.54,15.02,22.72
124,27.49,22.46,9.61,17.16,23.27
125,25.59,22.48,10.35,18.72,22.86
126,24.05,20.56,11.45,21.24,22.7
127,22.55,19.51,12.27,23.41,22.26
128,20.57,18.91,13.74,25.54,21.25
129,18.95,17.33,14.18,27.96,21.58
130,17.33,15.78,16.07,30.01,20.81
131,16.05,14.3,15.96,33.58,20.11
132,14.57,13.68,16.55,35.98,19.23
133,13.42,12.67,17.77,37.81,18.34
134,12.78,10.7,19.33,39.84,17.34
135,11.11,10.02,19.39,42.37,17.1
136,10.65,9.33,20.49,43.81,15.72
137,42.2,25.93,4.39,5.85,21.63
138,40.02,26.43,5.45,6.63,21.48
139,38.39,25.65,5.7,8.21,22.05
140,36.95,25.5,6.55,8.1,22.91
141,35.34,24.58,6.53,9.49,24.07
142,33.39,23.58,7.52,11.67,23.84
143,30.79,23.16,8.78,12.69,24.58
144,29.26,21.53,10.02,14.85,24.34
145,27.63,21.05,10.53,16.45,24.34
146,26.26,20.28,10.84,18.22,24.39
147,23.92,19.39,12.4,19.39,24.9
148,22.72,17.68,13.5,22.05,24.05
149,21.24,16.99,13.71,24.71,23.36
150,19.4,15.79,15.79,26.71,22.32
151,17.11,14.37,16.62,29.13,22.78
152,15.9,12.76,17.47,31.8,22.08
153,15.37,11.82,18.23,34.19,20.39
154,13.16,11.37,18.94,36.59,19.94
155,12.79,10.0,19.33,38.37,19.52
156,11.86,9.48,20.21,40.52,17.94
157,10.36,8.6,20.92,43.6,16.52
158,42.38,24.02,4.63,6.23,22.75
159,40.08,24.24,5.88,6.29,23.51
160,38.3,23.31,6.58,7.49,24.31
161,36.84,23.12,6.56,8.2,25.28
162,35.4,22.49,7.03,9.65,25.43
163,33.64,22.09,7.97,10.13,26.16
164,32.13,20.76,8.44,12.49,26.18
165,30.17,20.3,9.5,13.38,26.66
166,28.3,19.27,10.32,15.6,26.51
167,26.38,18.54,11.44,16.7,26.94
168,23.43,17.52,13.07,19.75,26.23
169,21.94,16.76,13.94,21.66,25.71
170,21.06,15.28,14.54,23.86,25.26
171,19.76,15.0,15.75,24.88,24.6
172,18.03,13.55,16.57,27.68,24.17
173,16.58,12.61,16.98,30.19,23.63
174,14.45,11.06,19.11,32.88,22.5
175,13.37,10.29,20.19,34.42,21.73
176,12.96,8.87,19.83,37.65,20.69
177,12.05,8.29,20.64,39.54,19.48
178,10.62,8.06,22.03,41.1,18.19
179,43.1,22.5,5.25,4.52,24.63
180,41.72,21.69,5.6,6.07,24.92
181,40.15,21.77,5.13,6.79,26.16
182,37.55,20.95,6.8,7.91,26.8
183,36.18,20.36,7.62,8.44,27.4
184,33.31,20.35,8.24,10.68,27.42
185,32.16,19.26,8.86,11.35,28.37
186,30.81,17.9,10.24,13.09,27.96
187,28.39,17.23,10.54,14.82,29.02
188,26.66,17.19,12.3,15.33,28.52
189,25.13,15.97,13.26,17.98,27.66
190,21.9,14.86,14.37,20.33,28.54
191,20.8,13.99,15.89,22.16,27.16
192,19.21,13.03,16.89,23.94,26.93
193,17.94,11.74,17.37,26.72,26.24
194,16.31,10.58,18.74,29.13,25.24
195,15.21,10.56,19.38,31.1,23.74
196,14.53,9.19,19.76,33.4,23.12
197,12.98,8.59,21.56,35.02,21.85
198,11.23,7.62,22.27,37.89,21.0
199,10.54,6.99,23.59,39.46,19.42
200,43.11,20.97,5.35,4.68,25.9
201,41.79,20.72,5.56,5.39,26.54
202,39.17,19.34,7.03,6.71,27.74
203,37.66,19.07,7.87,7.47,27.92
204,35.17,18.88,7.57,8.55,29.83
205,33.86,18.14,9.07,9.07,29.87
206,32.16,17.32,9.61,10.46,30.45
207,31.28,16.74,9.87,11.81,30.31
208,28.58,15.85,11.4,13.54,30.63
209,26.2,15.27,12.38,15.99,30.17
210,24.28,14.21,14.39,17.36,29.77
211,23.19,12.95,14.76,19.57,29.53
212,21.46,12.59,15.02,21.64,29.29
213,19.88,11.74,17.07,22.41,28.9
214,17.74,11.03,18.22,25.12,27.9
215,16.27,10.03,19.68,27.44,26.58
216,15.21,9.16,20.85,29.2,25.58
217,13.3,8.61,21.25,31.93,24.91
218,12.72,7.89,22.29,33.63,23.47
219,11.58,6.89,23.64,35.79,22.11
220,10.92,6.86,24.44,37.49,20.29
221,43.35,18.71,5.63,4.71,27.6
222,41.28,18.1,6.39,5.32,28.91
223,40.03,17.5,6.67,6.04,29.75
224,37.85,17.64,7.62,6.82,30.07
225,35.97,16.38,8.4,8.07,31.19
226,33.68,15.79,10.03,8.99,31.5
227,32.13,16.11,9.78,9.94,32.05
228,30.84,15.24,10.98,11.15,31.79
229,28.36,14.22,12.48,12.74,32.2
230,26.96,13.7,13.26,14.05,32.02
231,24.32,13.28,14.52,16.43,31.45
232,23.5,12.18,15.18,17.24,31.9
233,21.6,11.42,16.6,19.62,30.75
234,19.57,10.08,18.1,21.92,30.33
235,17.68,9.47,19.81,23.29,29.76
236,15.97,9.23,20.31,25.67,28.81
237,14.55,8.64,20.66,28.45,27.7
238,13.48,8.07,23.03,28.94,26.48
239,12.76,7.1,23.42,32.05,24.66
240,11.36,6.19,24.65,33.87,23.94
241,10.55,5.82,25.74,35.31,22.58
242,41.67,16.34,6.37,5.23,30.39
243,39.76,16.26,6.57,5.81,31.59
244,38.12,15.1,8.17,6.27,32.34
245,35.69,14.81,8.84,7.91,32.74
246,33.95,14.56,9.65,9.01,32.82
247,32.44,14.08,10.34,9.63,33.51
248,30.5,13.32,11.22,10.6,34.36
249,28.17,12.94,12.76,12.31,33.82
250,26.65,11.9,12.97,14.49,33.99
251,25.54,11.11,14.07,15.23,34.05
252,22.69,10.42,15.59,17.34,33.95
253,20.74,10.27,16.63,18.98,33.37
254,19.06,9.1,18.87,20.21,32.76
255,16.98,8.39,20.29,22.83,31.51
256,15.84,7.82,20.8,24.62,30.92
257,14.99,7.4,22.29,25.94,29.39
258,13.82,7.16,22.81,28.36,27.85
259,12.53,6.42,25.05,29.63,26.37
260,11.32,5.76,25.17,32.2,25.56
261,41.61,14.8,5.81,5.41,32.38
262,39.62,14.58,7.53,5.31,32.96
263,38.12,14.13,7.49,6.26,34.0
264,35.99,13.46,8.69,6.73,35.13
265,34.77,12.59,9.26,8.61,34.77
266,31.92,12.47,10.34,9.2,36.07
267,29.76,12.02,11.85,10.73,35.64
268,27.73,11.53,12.31,12.13,36.31
269,26.08,10.28,14.88,12.86,35.9
270,24.74,10.39,15.14,14.52,35.21
271,22.17,9.35,16.74,16.46,35.27
272,20.98,8.74,18.44,17.92,33.92
273,18.73,7.88,19.69,19.6,34.1
274,17.14,7.43,21.05,20.38,34.0
275,16.24,7.26,21.87,22.06,32.57
276,14.22,6.04,23.17,24.73,31.84
277,13.32,6.05,23.98,26.74,29.92
278,12.73,5.65,24.59,28.52,28.52
279,11.14,5.28,26.8,30.45,26.32
280,39.16,12.65,7.74,5.16,35.29
281,37.44,12.56,8.49,5.16,36.36
282,35.56,12.1,8.56,6.83,36.95
283,33.45,11.83,10.21,7.83,36.68
284,31.77,10.59,10.86,8.12,38.66
285,30.16,10.8,12.01,9.42,37.6
286,28.08,9.78,13.41,11.23,37.5
287,26.2,9.23,14.67,11.9,38.01
288,23.83,9.07,15.14,13.93,38.04
289,22.08,8.12,17.88,14.96,36.95
290,20.08,7.6,18.86,16.7,36.77
291,18.68,7.09,19.58,18.28,36.36
292,17.11,7.07,21.03,19.89,34.89
293,16.46,6.16,21.46,21.66,34.26
294,15.05,6.21,23.3,23.11,32.33
295,13.88,4.89,25.12,25.12,30.99
296,12.8,4.46,26.39,26.39,29.96
297,36.79,11.38,8.5,5.69,37.65
298,35.74,10.21,9.36,6.38,38.3
299,33.28,10.13,10.21,7.32,39.06
300,31.05,10.14,11.83,8.1,38.88
301,29.71,9.55,12.76,8.39,39.61
302,27.84,8.92,13.87,9.37,40.0
303,25.97,8.0,14.73,11.5,39.8
304,23.5,7.83,16.94,12.84,38.89
305,22.18,6.88,17.59,13.67,39.67
306,20.04,6.9,19.2,15.28,38.58
307,19.21,6.4,19.76,16.01,38.61
308,17.11,6.29,21.44,18.29,36.87
309,15.25,5.78,22.54,20.45,35.98
310,13.74,4.71,24.83,21.79,34.94
311,12.82,4.84,26.88,22.7,32.76
312,34.91,9.31,9.66,5.69,40.43
313,32.24,8.99,10.69,6.68,41.41
314,30.74,8.54,10.93,7.94,41.84
315,28.91,8.01,13.61,8.81,40.66
316,27.11,7.2,14.4,9.96,41.33
317,26.31,7.4,15.07,9.67,41.55
318,23.3,6.78,16.71,11.84,41.36
319,21.07,6.36,18.44,13.08,41.05
320,19.83,5.82,20.11,13.92,40.32
321,18.82,5.79,19.69,16.12,39.58
322,16.33,5.31,22.04,16.83,39.48
323,14.75,5.17,23.66,18.77,37.64
324,14.07,4.41,23.72,21.15,36.65
325,32.31,7.71,10.54,6.26,43.19
326,30.81,6.63,12.13,7.31,43.12
327,28.85,7.39,12.64,7.75,43.37
328,26.6,6.94,13.7,9.75,43.02
329,24.6,6.44,15.87,9.7,43.39
330,22.55,6.13,17.64,10.75,42.92
331,21.24,5.63,18.23,11.83,43.06
332,19.11,5.69,19.79,13.61,41.8
333,17.29,4.97,21.68,15.0,41.07
334,16.76,4.46,22.38,15.99,40.41
335,15.22,4.05,24.01,17.29,39.43
336,27.94,5.92,12.77,7.59,45.79
337,25.61,5.93,15.0,8.54,44.92
338,24.8,5.53,16.15,8.56,44.96
339,21.89,5.26,18.07,9.85,44.93
340,20.38,4.45,19.05,11.37,44.74
341,19.11,3.86,20.4,12.38,44.26
342,17.18,4.5,20.88,14.09,43.36
