;x;y;Pd;Pt
Spektrum 1 {6};-22.67;-40.969;91.8;8.2
Spektrum 1 {7};-18.169;-40.969;92.0;8.0
Spektrum 1 {8};-13.67;-40.969;92.5;7.5
Spektrum 1 {9};-9.17;-40.969;92.7;7.3
Spektrum 1 {10};-4.67;-40.969;93.1;6.9
Spektrum 1 {11};-0.171;-40.969;93.1;6.9
Spektrum 1 {12};4.319;-40.969;93.2;6.8
Spektrum 1 {13};8.819;-40.969;93.3;6.7
Spektrum 1 {14};13.319;-40.969;93.8;6.2
Spektrum 1 {15};17.819;-40.969;93.6;6.4
Spektrum 1 {16};22.319;-40.969;93.9;6.1
Spektrum 1 {26};-27.17;-36.47;90.0;10.0
Spektrum 1 {27};-22.669;-36.47;90.4;9.6
Spektrum 1 {28};-18.17;-36.47;91.0;9.0
Spektrum 1 {29};-13.669;-36.47;91.1;8.9
Spektrum 1 {30};-9.17;-36.47;91.6;8.4
Spektrum 1 {31};-4.668;-36.47;91.8;8.2
Spektrum 1 {32};-0.169;-36.47;91.7;8.3
Spektrum 1 {33};4.318;-36.47;92.0;8.0
Spektrum 1 {34};8.819;-36.47;92.4;7.6
Spektrum 1 {35};13.318;-36.47;92.6;7.4
Spektrum 1 {36};17.819;-36.47;92.7;7.3
Spektrum 1 {37};22.32;-36.47;92.9;7.1
Spektrum 1 {38};26.82;-36.47;93.1;6.9
Spektrum 1 {46};-31.67;-31.969;88.3;11.7
Spektrum 1 {47};-27.171;-31.969;88.6;11.4
Spektrum 1 {48};-22.67;-31.969;88.8;11.2
Spektrum 1 {49};-18.171;-31.969;89.6;10.4
Spektrum 1 {50};-13.67;-31.969;89.7;10.3
Spektrum 1 {51};-9.169;-31.969;89.8;10.2
Spektrum 1 {52};-4.669;-31.969;90.2;9.8
Spektrum 1 {53};-0.169;-31.969;90.8;9.2
Spektrum 1 {54};4.318;-31.969;91.0;9.0
Spektrum 1 {55};8.819;-31.969;91.1;8.9
Spektrum 1 {56};13.32;-31.969;91.1;8.9
Spektrum 1 {57};17.819;-31.969;91.7;8.3
Spektrum 1 {58};22.32;-31.969;91.7;8.3
Spektrum 1 {59};26.819;-31.969;91.7;8.3
Spektrum 1 {60};31.32;-31.969;92.3;7.7
Spektrum 1 {66};-36.169;-27.464;86.1;13.9
Spektrum 1 {67};-31.672;-27.464;86.0;14.0
Spektrum 1 {68};-27.171;-27.464;86.6;13.4
Spektrum 1 {69};-22.669;-27.464;86.8;13.2
Spektrum 1 {70};-18.168;-27.464;87.6;12.4
Spektrum 1 {71};-13.669;-27.464;88.2;11.8
Spektrum 1 {72};-9.17;-27.464;88.6;11.4
Spektrum 1 {73};-4.669;-27.464;88.5;11.5
Spektrum 1 {74};-0.169;-27.464;89.1;10.9
Spektrum 1 {75};4.321;-27.464;89.4;10.6
Spektrum 1 {76};8.819;-27.464;89.7;10.3
Spektrum 1 {77};13.319;-27.464;90.1;9.9
Spektrum 1 {78};17.82;-27.464;90.3;9.7
Spektrum 1 {79};22.32;-27.464;90.4;9.6
Spektrum 1 {80};26.82;-27.464;90.7;9.3
Spektrum 1 {81};31.321;-27.464;90.8;9.2
Spektrum 1 {82};35.818;-27.464;90.7;9.3
Spektrum 1 {86};-40.67;-22.967;83.2;16.8
Spektrum 1 {87};-36.17;-22.967;83.6;16.4
Spektrum 1 {88};-31.669;-22.967;83.7;16.3
Spektrum 1 {89};-27.17;-22.967;84.8;15.2
Spektrum 1 {90};-22.668;-22.967;85.3;14.7
Spektrum 1 {91};-18.168;-22.967;86.0;14.0
Spektrum 1 {92};-13.67;-22.967;86.2;13.8
Spektrum 1 {93};-9.169;-22.967;86.7;13.3
Spektrum 1 {94};-4.671;-22.967;87.0;13.0
Spektrum 1 {95};-0.171;-22.967;87.0;13.0
Spektrum 1 {96};4.32;-22.967;87.8;12.2
Spektrum 1 {97};8.819;-22.967;88.1;11.9
Spektrum 1 {98};13.318;-22.967;88.0;12.0
Spektrum 1 {99};17.82;-22.967;88.6;11.4
Spektrum 1 {100};22.32;-22.967;88.8;11.2
Spektrum 1 {101};26.82;-22.967;89.0;11.0
Spektrum 1 {102};31.318;-22.967;89.3;10.7
Spektrum 1 {103};35.819;-22.967;89.7;10.3
Spektrum 1 {104};40.318;-22.967;89.6;10.4
Spektrum 1 {107};-40.671;-18.467;80.8;19.2
Spektrum 1 {108};-36.169;-18.467;81.0;19.0
Spektrum 1 {109};-31.67;-18.467;81.8;18.2
Spektrum 1 {110};-27.169;-18.467;82.2;17.8
Spektrum 1 {111};-22.669;-18.467;82.8;17.2
Spektrum 1 {112};-18.168;-18.467;83.2;16.8
Spektrum 1 {113};-13.671;-18.467;84.0;16.0
Spektrum 1 {114};-9.169;-18.467;84.4;15.6
Spektrum 1 {115};-4.668;-18.467;84.9;15.1
Spektrum 1 {116};-0.169;-18.467;85.1;14.9
Spektrum 1 {117};4.32;-18.467;85.5;14.5
Spektrum 1 {118};8.819;-18.467;86.0;14.0
Spektrum 1 {119};13.32;-18.467;86.4;13.6
Spektrum 1 {120};17.818;-18.467;86.8;13.2
Spektrum 1 {121};22.32;-18.467;87.1;12.9
Spektrum 1 {122};26.82;-18.467;87.3;12.7
Spektrum 1 {123};31.32;-18.467;87.7;12.3
Spektrum 1 {124};35.82;-18.467;87.7;12.3
Spektrum 1 {125};40.318;-18.467;87.9;12.1
Spektrum 1 {127};-45.167;-13.964;77.3;22.7
Spektrum 1 {128};-40.672;-13.964;77.9;22.1
Spektrum 1 {129};-36.17;-13.964;78.5;21.5
Spektrum 1 {130};-31.67;-13.964;78.9;21.1
Spektrum 1 {131};-27.171;-13.964;79.8;20.2
Spektrum 1 {132};-22.67;-13.964;80.1;19.9
Spektrum 1 {133};-18.168;-13.964;80.8;19.2
Spektrum 1 {134};-13.669;-13.964;81.6;18.4
Spektrum 1 {135};-9.169;-13.964;81.7;18.3
Spektrum 1 {136};-4.668;-13.964;81.9;18.1
Spektrum 1 {137};-0.168;-13.964;82.8;17.2
Spektrum 1 {138};4.319;-13.964;83.4;16.6
Spektrum 1 {139};8.819;-13.964;84.1;15.9
Spektrum 1 {140};13.319;-13.964;84.2;15.8
Spektrum 1 {141};17.819;-13.964;84.5;15.5
Spektrum 1 {142};22.32;-13.964;85.2;14.8
Spektrum 1 {143};26.819;-13.964;85.2;14.8
Spektrum 1 {144};31.32;-13.964;85.4;14.6
Spektrum 1 {145};35.819;-13.964;85.9;14.1
Spektrum 1 {146};40.319;-13.964;86.3;13.7
Spektrum 1 {147};44.819;-13.964;86.0;14.0
Spektrum 1 {148};-45.169;-9.466;73.6;26.4
Spektrum 1 {149};-40.67;-9.466;74.7;25.3
Spektrum 1 {150};-36.171;-9.466;74.9;25.1
Spektrum 1 {151};-31.671;-9.466;75.8;24.2
Spektrum 1 {152};-27.171;-9.466;76.4;23.6
Spektrum 1 {153};-22.669;-9.466;77.2;22.8
Spektrum 1 {154};-18.17;-9.466;77.7;22.3
Spektrum 1 {155};-13.669;-9.466;78.1;21.9
Spektrum 1 {156};-9.169;-9.466;79.0;21.0
Spektrum 1 {157};-4.668;-9.466;79.5;20.5
Spektrum 1 {158};-0.17;-9.466;79.9;20.1
Spektrum 1 {159};4.318;-9.466;80.7;19.3
Spektrum 1 {160};8.819;-9.466;81.2;18.8
Spektrum 1 {161};13.32;-9.466;81.9;18.1
Spektrum 1 {162};17.821;-9.466;82.1;17.9
Spektrum 1 {163};22.32;-9.466;82.8;17.2
Spektrum 1 {164};26.82;-9.466;82.3;17.7
Spektrum 1 {165};31.318;-9.466;83.4;16.6
Spektrum 1 {166};35.821;-9.466;83.6;16.4
Spektrum 1 {167};40.319;-9.466;83.9;16.1
Spektrum 1 {168};44.82;-9.466;84.1;15.9
Spektrum 1 {169};-45.167;-4.966;69.7;30.3
Spektrum 1 {170};-40.67;-4.966;71.0;29.0
Spektrum 1 {171};-36.17;-4.966;71.4;28.6
Spektrum 1 {172};-31.67;-4.966;72.5;27.5
Spektrum 1 {173};-27.171;-4.966;73.1;26.9
Spektrum 1 {174};-22.67;-4.966;73.7;26.3
Spektrum 1 {175};-18.17;-4.966;74.8;25.2
Spektrum 1 {176};-13.669;-4.966;75.3;24.7
Spektrum 1 {177};-9.171;-4.966;75.8;24.2
Spektrum 1 {178};-4.671;-4.966;76.7;23.3
Spektrum 1 {179};-0.169;-4.966;77.3;22.7
Spektrum 1 {180};4.32;-4.966;77.7;22.3
Spektrum 1 {181};8.82;-4.966;78.1;21.9
Spektrum 1 {182};13.319;-4.966;78.5;21.5
Spektrum 1 {183};17.819;-4.966;79.5;20.5
Spektrum 1 {184};22.32;-4.966;80.1;19.9
Spektrum 1 {185};26.819;-4.966;80.4;19.6
Spektrum 1 {186};31.319;-4.966;80.2;19.8
Spektrum 1 {187};35.819;-4.966;81.3;18.7
Spektrum 1 {188};40.318;-4.966;81.3;18.7
Spektrum 1 {189};44.819;-4.966;81.8;18.2
Spektrum 1 {190};-45.168;-0.468;66.7;33.3
Spektrum 1 {191};-40.672;-0.468;67.4;32.6
Spektrum 1 {192};-36.17;-0.468;67.7;32.3
Spektrum 1 {193};-31.67;-0.468;68.6;31.4
Spektrum 1 {194};-27.169;-0.468;69.3;30.7
Spektrum 1 {195};-22.669;-0.468;70.2;29.8
Spektrum 1 {196};-18.169;-0.468;70.7;29.3
Spektrum 1 {197};-13.669;-0.468;71.0;29.0
Spektrum 1 {198};-9.17;-0.468;72.5;27.5
Spektrum 1 {199};-4.67;-0.468;73.2;26.8
Spektrum 1 {200};-0.169;-0.468;73.6;26.4
Spektrum 1 {201};4.32;-0.468;74.5;25.5
Spektrum 1 {202};8.82;-0.468;74.8;25.2
Spektrum 1 {203};13.319;-0.468;75.7;24.3
Spektrum 1 {204};17.818;-0.468;75.7;24.3
Spektrum 1 {205};22.318;-0.468;77.0;23.0
Spektrum 1 {206};26.818;-0.468;77.1;22.9
Spektrum 1 {207};31.318;-0.468;77.6;22.4
Spektrum 1 {208};35.818;-0.468;78.3;21.7
Spektrum 1 {209};40.318;-0.468;78.5;21.5
Spektrum 1 {210};44.819;-0.468;78.9;21.1
Spektrum 1 {211};-45.167;4.022;62.2;37.8
Spektrum 1 {212};-40.67;4.022;62.6;37.4
Spektrum 1 {213};-36.17;4.022;63.7;36.3
Spektrum 1 {214};-31.67;4.022;64.9;35.1
Spektrum 1 {215};-27.171;4.022;65.8;34.2
Spektrum 1 {216};-22.67;4.022;66.1;33.9
Spektrum 1 {217};-18.17;4.022;67.3;32.7
Spektrum 1 {218};-13.671;4.022;67.3;32.7
Spektrum 1 {219};-9.17;4.022;68.5;31.5
Spektrum 1 {220};-4.671;4.022;69.0;31.0
Spektrum 1 {221};-0.169;4.022;70.1;29.9
Spektrum 1 {222};4.32;4.022;71.2;28.8
Spektrum 1 {223};8.819;4.022;71.4;28.6
Spektrum 1 {224};13.32;4.022;72.2;27.8
Spektrum 1 {225};17.819;4.022;72.7;27.3
Spektrum 1 {226};22.32;4.022;73.1;26.9
Spektrum 1 {227};26.82;4.022;74.4;25.6
Spektrum 1 {228};31.32;4.022;73.8;26.2
Spektrum 1 {229};35.818;4.022;75.3;24.7
Spektrum 1 {230};40.319;4.022;75.4;24.6
Spektrum 1 {231};44.819;4.022;75.6;24.4
Spektrum 1 {232};-45.167;8.523;58.4;41.6
Spektrum 1 {233};-40.672;8.523;59.1;40.9
Spektrum 1 {234};-36.171;8.523;59.8;40.2
Spektrum 1 {235};-31.67;8.523;60.7;39.3
Spektrum 1 {236};-27.171;8.523;61.3;38.7
Spektrum 1 {237};-22.67;8.523;62.0;38.0
Spektrum 1 {238};-18.169;8.523;63.2;36.8
Spektrum 1 {239};-13.669;8.523;64.0;36.0
Spektrum 1 {240};-9.171;8.523;64.4;35.6
Spektrum 1 {241};-4.67;8.523;65.4;34.6
Spektrum 1 {242};-0.17;8.523;66.2;33.8
Spektrum 1 {243};4.321;8.523;66.7;33.3
Spektrum 1 {244};8.819;8.523;67.7;32.3
Spektrum 1 {245};13.32;8.523;68.7;31.3
Spektrum 1 {246};17.819;8.523;68.6;31.4
Spektrum 1 {247};22.32;8.523;68.8;31.2
Spektrum 1 {248};26.818;8.523;70.3;29.7
Spektrum 1 {249};31.32;8.523;70.4;29.6
Spektrum 1 {250};35.819;8.523;71.1;28.9
Spektrum 1 {251};40.32;8.523;71.7;28.3
Spektrum 1 {252};44.82;8.523;72.4;27.6
Spektrum 1 {253};-45.168;13.021;54.8;45.2
Spektrum 1 {254};-40.671;13.021;54.9;45.1
Spektrum 1 {255};-36.172;13.021;55.1;44.9
Spektrum 1 {256};-31.672;13.021;56.4;43.6
Spektrum 1 {257};-27.17;13.021;56.8;43.2
Spektrum 1 {258};-22.67;13.021;57.7;42.3
Spektrum 1 {259};-18.168;13.021;58.6;41.4
Spektrum 1 {260};-13.67;13.021;60.1;39.9
Spektrum 1 {261};-9.169;13.021;60.2;39.8
Spektrum 1 {262};-4.67;13.021;61.9;38.1
Spektrum 1 {263};-0.171;13.021;62.2;37.8
Spektrum 1 {264};4.318;13.021;62.9;37.1
Spektrum 1 {265};8.818;13.021;64.2;35.8
Spektrum 1 {266};13.318;13.021;64.0;36.0
Spektrum 1 {267};17.818;13.021;64.8;35.2
Spektrum 1 {268};22.32;13.021;65.4;34.6
Spektrum 1 {269};26.82;13.021;66.3;33.7
Spektrum 1 {270};31.32;13.021;67.6;32.4
Spektrum 1 {271};35.819;13.021;67.4;32.6
Spektrum 1 {272};40.318;13.021;68.7;31.3
Spektrum 1 {273};44.819;13.021;68.8;31.2
Spektrum 1 {275};-40.672;17.523;49.3;50.7
Spektrum 1 {276};-36.171;17.523;51.2;48.8
Spektrum 1 {277};-31.67;17.523;51.5;48.5
Spektrum 1 {278};-27.171;17.523;52.4;47.6
Spektrum 1 {279};-22.67;17.523;54.0;46.0
Spektrum 1 {280};-18.169;17.523;54.3;45.7
Spektrum 1 {281};-13.67;17.523;55.4;44.6
Spektrum 1 {282};-9.17;17.523;56.5;43.5
Spektrum 1 {283};-4.671;17.523;57.3;42.7
Spektrum 1 {284};-0.169;17.523;58.0;42.0
Spektrum 1 {285};4.318;17.523;59.1;40.9
Spektrum 1 {286};8.819;17.523;59.4;40.6
Spektrum 1 {287};13.32;17.523;60.4;39.6
Spektrum 1 {288};17.819;17.523;60.8;39.2
Spektrum 1 {289};22.32;17.523;62.1;37.9
Spektrum 1 {290};26.819;17.523;62.0;38.0
Spektrum 1 {291};31.318;17.523;63.0;37.0
Spektrum 1 {292};35.818;17.523;63.2;36.8
Spektrum 1 {293};40.319;17.523;65.1;34.9
Spektrum 1 {296};-40.67;22.025;46.8;53.2
Spektrum 1 {297};-36.17;22.025;47.5;52.5
Spektrum 1 {298};-31.669;22.025;48.1;51.9
Spektrum 1 {299};-27.169;22.025;48.4;51.6
Spektrum 1 {300};-22.669;22.025;49.6;50.4
Spektrum 1 {301};-18.169;22.025;50.5;49.5
Spektrum 1 {302};-13.669;22.025;51.5;48.5
Spektrum 1 {303};-9.17;22.025;51.3;48.7
Spektrum 1 {304};-4.671;22.025;52.9;47.1
Spektrum 1 {305};-0.17;22.025;53.6;46.4
Spektrum 1 {306};4.318;22.025;55.0;45.0
Spektrum 1 {307};8.817;22.025;55.0;45.0
Spektrum 1 {308};13.317;22.025;56.2;43.8
Spektrum 1 {309};17.819;22.025;56.2;43.8
Spektrum 1 {310};22.317;22.025;57.6;42.4
Spektrum 1 {311};26.818;22.025;57.7;42.3
Spektrum 1 {312};31.318;22.025;59.2;40.8
Spektrum 1 {313};35.817;22.025;59.3;40.7
Spektrum 1 {314};40.318;22.025;61.5;38.5
Spektrum 1 {318};-36.17;26.525;42.4;57.6
Spektrum 1 {319};-31.67;26.525;43.9;56.1
Spektrum 1 {320};-27.172;26.525;44.4;55.6
Spektrum 1 {321};-22.671;26.525;45.8;54.2
Spektrum 1 {322};-18.171;26.525;46.3;53.7
Spektrum 1 {323};-13.669;26.525;46.5;53.5
Spektrum 1 {324};-9.169;26.525;48.1;51.9
Spektrum 1 {325};-4.67;26.525;49.4;50.6
Spektrum 1 {326};-0.17;26.525;50.7;49.3
Spektrum 1 {327};4.317;26.525;50.7;49.3
Spektrum 1 {328};8.818;26.525;51.4;48.6
Spektrum 1 {329};13.32;26.525;51.8;48.2
Spektrum 1 {330};17.82;26.525;53.1;46.9
Spektrum 1 {331};22.32;26.525;53.8;46.2
Spektrum 1 {332};26.818;26.525;54.4;45.6
Spektrum 1 {333};31.32;26.525;54.0;46.0
Spektrum 1 {334};35.82;26.525;55.3;44.7
Spektrum 1 {340};-31.671;31.026;40.0;60.0
Spektrum 1 {341};-27.171;31.026;40.8;59.2
Spektrum 1 {342};-22.669;31.026;41.0;59.0
Spektrum 1 {343};-18.17;31.026;43.1;56.9
Spektrum 1 {344};-13.67;31.026;43.8;56.2
Spektrum 1 {345};-9.169;31.026;45.0;55.0
Spektrum 1 {346};-4.669;31.026;45.5;54.5
Spektrum 1 {347};-0.171;31.026;45.2;54.8
Spektrum 1 {348};4.318;31.026;46.4;53.6
Spektrum 1 {349};8.818;31.026;46.8;53.2
Spektrum 1 {350};13.32;31.026;47.8;52.2
Spektrum 1 {351};17.82;31.026;48.9;51.1
Spektrum 1 {352};22.32;31.026;48.8;51.2
Spektrum 1 {353};26.818;31.026;49.6;50.4
Spektrum 1 {354};31.32;31.026;48.8;51.2
Spektrum 1 {362};-27.169;35.525;36.8;63.2
Spektrum 1 {363};-22.67;35.525;37.7;62.3
Spektrum 1 {364};-18.17;35.525;39.1;60.9
Spektrum 1 {365};-13.671;35.525;39.4;60.6
Spektrum 1 {366};-9.17;35.525;40.8;59.2
Spektrum 1 {367};-4.669;35.525;40.6;59.4
Spektrum 1 {368};-0.169;35.525;42.3;57.7
Spektrum 1 {369};4.317;35.525;42.7;57.3
Spektrum 1 {370};8.819;35.525;43.2;56.8
Spektrum 1 {371};13.32;35.525;43.6;56.4
Spektrum 1 {372};17.818;35.525;44.9;55.1
Spektrum 1 {373};22.318;35.525;44.6;55.4
Spektrum 1 {374};26.82;35.525;46.1;53.9
Spektrum 1 {384};-22.67;40.021;35.7;64.3
Spektrum 1 {385};-18.169;40.021;35.1;64.9
Spektrum 1 {386};-13.67;40.021;35.7;64.3
Spektrum 1 {387};-9.171;40.021;36.8;63.2
Spektrum 1 {388};-4.671;40.021;37.8;62.2
Spektrum 1 {389};-0.172;40.021;37.9;62.1
Spektrum 1 {390};4.318;40.021;40.2;59.8
Spektrum 1 {391};8.817;40.021;38.7;61.3
Spektrum 1 {392};13.319;40.021;40.4;59.6
Spektrum 1 {393};17.817;40.021;40.4;59.6
Spektrum 1 {394};22.317;40.021;40.8;59.2
Spektrum 1 {407};-13.67;44.521;31.7;68.3
Spektrum 1 {408};-9.17;44.521;33.2;66.8
Spektrum 1 {409};-4.67;44.521;33.8;66.2
Spektrum 1 {410};-0.171;44.521;34.5;65.5
Spektrum 1 {411};4.319;44.521;35.0;65.0
Spektrum 1 {412};8.818;44.521;36.0;64.0
Spektrum 1 {413};13.319;44.521;35.7;64.3
