;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {6};-22.67;-40.969;1.6;27.2;3.0;1.8;16.3;50.0
Spektrum 1 {7};-18.169;-40.969;2.0;28.4;2.1;1.9;15.7;50.0
Spektrum 1 {8};-13.67;-40.969;2.2;29.6;2.4;1.3;14.5;50.0
Spektrum 1 {9};-9.17;-40.969;2.0;31.1;2.0;1.6;13.4;50.0
Spektrum 1 {10};-4.67;-40.969;2.3;32.9;1.3;1.2;12.3;50.0
Spektrum 1 {11};-0.171;-40.969;2.2;34.0;1.6;1.2;10.9;50.0
Spektrum 1 {12};4.319;-40.969;2.2;35.3;1.2;1.0;10.3;50.0
Spektrum 1 {13};8.819;-40.969;2.3;36.5;1.1;1.0;9.0;50.0
Spektrum 1 {14};13.319;-40.969;2.3;37.9;0.8;1.1;7.9;50.0
Spektrum 1 {15};17.819;-40.969;2.4;38.3;1.1;0.9;7.3;50.0
Spektrum 1 {16};22.319;-40.969;2.2;39.3;1.3;0.9;6.3;50.0
Spektrum 1 {26};-27.17;-36.47;2.1;25.0;3.1;2.4;17.3;50.0
Spektrum 1 {27};-22.669;-36.47;2.3;27.2;2.7;2.0;15.8;50.0
Spektrum 1 {28};-18.17;-36.47;2.3;28.4;2.3;1.9;15.2;50.0
Spektrum 1 {29};-13.669;-36.47;2.6;29.2;2.5;2.1;13.6;50.0
Spektrum 1 {30};-9.17;-36.47;2.0;31.3;2.1;1.7;12.8;50.0
Spektrum 1 {31};-4.668;-36.47;2.3;32.6;1.6;1.5;12.1;50.0
Spektrum 1 {32};-0.169;-36.47;2.4;33.8;1.7;1.4;10.7;50.0
Spektrum 1 {33};4.318;-36.47;2.4;35.3;1.3;1.2;9.8;50.0
Spektrum 1 {34};8.819;-36.47;2.4;36.1;1.4;1.2;8.9;50.0
Spektrum 1 {35};13.318;-36.47;2.5;37.7;0.8;1.2;7.8;50.0
Spektrum 1 {36};17.819;-36.47;2.5;38.5;1.0;1.1;6.9;50.0
Spektrum 1 {37};22.32;-36.47;2.7;39.5;0.7;1.0;6.2;50.0
Spektrum 1 {38};26.82;-36.47;2.5;40.4;0.8;1.0;5.4;50.0
Spektrum 1 {46};-31.67;-31.969;2.1;24.4;3.7;2.3;17.6;50.0
Spektrum 1 {47};-27.171;-31.969;2.3;25.0;3.8;2.3;16.7;50.0
Spektrum 1 {48};-22.67;-31.969;2.4;26.8;3.0;2.1;15.7;50.0
Spektrum 1 {49};-18.171;-31.969;2.5;28.7;2.4;1.9;14.5;50.0
Spektrum 1 {50};-13.67;-31.969;2.7;29.7;2.4;2.0;13.3;50.0
Spektrum 1 {51};-9.169;-31.969;2.9;31.0;2.1;1.7;12.2;50.0
Spektrum 1 {52};-4.669;-31.969;2.7;32.4;1.6;1.7;11.7;50.0
Spektrum 1 {53};-0.169;-31.969;2.6;34.2;1.2;1.6;10.5;50.0
Spektrum 1 {54};4.318;-31.969;2.8;35.2;1.1;1.6;9.3;50.0
Spektrum 1 {55};8.819;-31.969;2.5;36.4;1.5;1.3;8.4;50.0
Spektrum 1 {56};13.32;-31.969;2.7;37.1;1.3;1.3;7.6;50.0
Spektrum 1 {57};17.819;-31.969;2.8;38.6;1.0;1.2;6.4;50.0
Spektrum 1 {58};22.32;-31.969;2.6;39.2;0.9;1.2;6.1;50.0
Spektrum 1 {59};26.819;-31.969;2.9;40.5;0.3;1.1;5.2;50.0
Spektrum 1 {60};31.32;-31.969;2.7;41.0;0.6;1.1;4.6;50.0
Spektrum 1 {66};-36.169;-27.464;2.3;22.6;4.3;3.0;17.9;50.0
Spektrum 1 {67};-31.672;-27.464;2.4;24.3;3.8;2.6;16.9;50.0
Spektrum 1 {68};-27.171;-27.464;2.4;25.1;3.6;2.4;16.4;50.0
Spektrum 1 {69};-22.669;-27.464;2.3;26.6;3.5;2.3;15.3;50.0
Spektrum 1 {70};-18.168;-27.464;2.5;28.2;2.8;2.5;14.0;50.0
Spektrum 1 {71};-13.669;-27.464;2.6;29.2;3.0;2.1;13.0;50.0
Spektrum 1 {72};-9.17;-27.464;3.0;30.9;2.1;2.5;11.6;50.0
Spektrum 1 {73};-4.669;-27.464;2.7;32.4;2.0;1.9;11.0;50.0
Spektrum 1 {74};-0.169;-27.464;2.5;33.9;2.0;1.9;9.7;50.0
Spektrum 1 {75};4.321;-27.464;2.9;35.3;1.1;1.5;9.2;50.0
Spektrum 1 {76};8.819;-27.464;2.7;36.0;1.6;1.5;8.1;50.0
Spektrum 1 {77};13.319;-27.464;2.9;37.4;1.0;1.5;7.1;50.0
Spektrum 1 {78};17.82;-27.464;2.7;38.1;1.3;1.5;6.4;50.0
Spektrum 1 {79};22.32;-27.464;3.0;38.9;1.0;1.4;5.6;50.0
Spektrum 1 {80};26.82;-27.464;3.0;39.9;1.0;1.3;4.9;50.0
Spektrum 1 {81};31.321;-27.464;2.9;40.8;0.7;1.1;4.4;50.0
Spektrum 1 {82};35.818;-27.464;3.0;41.7;0.3;1.1;3.9;50.0
Spektrum 1 {86};-40.67;-22.967;2.6;20.4;5.0;3.1;19.0;50.0
Spektrum 1 {87};-36.17;-22.967;2.6;22.3;4.6;2.9;17.6;50.0
Spektrum 1 {88};-31.669;-22.967;2.5;24.0;4.2;2.9;16.4;50.0
Spektrum 1 {89};-27.17;-22.967;2.7;24.8;3.8;3.0;15.7;50.0
Spektrum 1 {90};-22.668;-22.967;3.0;26.7;3.0;2.6;14.6;50.0
Spektrum 1 {91};-18.168;-22.967;3.1;27.6;2.8;2.8;13.7;50.0
Spektrum 1 {92};-13.67;-22.967;2.8;29.5;2.9;2.3;12.5;50.0
Spektrum 1 {93};-9.169;-22.967;2.8;31.3;1.9;2.3;11.6;50.0
Spektrum 1 {94};-4.671;-22.967;3.2;31.8;2.1;2.3;10.5;50.0
Spektrum 1 {95};-0.171;-22.967;3.0;33.2;2.0;2.4;9.3;50.0
Spektrum 1 {96};4.32;-22.967;3.0;35.0;1.5;2.1;8.4;50.0
Spektrum 1 {97};8.819;-22.967;3.1;35.8;1.4;1.8;7.9;50.0
Spektrum 1 {98};13.318;-22.967;3.2;37.1;0.9;1.8;7.0;50.0
Spektrum 1 {99};17.82;-22.967;3.2;38.0;1.0;1.6;6.1;50.0
Spektrum 1 {100};22.32;-22.967;3.1;39.0;1.2;1.6;5.2;50.0
Spektrum 1 {101};26.82;-22.967;3.0;40.0;0.7;1.2;5.1;50.0
Spektrum 1 {102};31.318;-22.967;3.2;40.6;0.8;1.4;4.1;50.0
Spektrum 1 {103};35.819;-22.967;3.2;41.7;0.3;1.1;3.7;50.0
Spektrum 1 {104};40.318;-22.967;3.2;42.0;0.7;0.8;3.3;50.0
Spektrum 1 {107};-40.671;-18.467;2.5;20.9;5.7;3.2;17.7;50.0
Spektrum 1 {108};-36.169;-18.467;2.8;22.2;4.5;3.7;16.8;50.0
Spektrum 1 {109};-31.67;-18.467;2.7;23.6;4.2;3.4;16.1;50.0
Spektrum 1 {110};-27.169;-18.467;2.7;25.3;3.8;3.3;14.9;50.0
Spektrum 1 {111};-22.669;-18.467;3.1;26.4;3.5;3.3;13.7;50.0
Spektrum 1 {112};-18.168;-18.467;3.1;28.1;3.0;2.9;13.0;50.0
Spektrum 1 {113};-13.671;-18.467;3.2;29.1;2.7;3.1;11.9;50.0
Spektrum 1 {114};-9.169;-18.467;3.2;31.0;2.0;2.7;11.1;50.0
Spektrum 1 {115};-4.668;-18.467;3.6;31.6;2.4;2.6;9.8;50.0
Spektrum 1 {116};-0.169;-18.467;3.2;33.4;2.0;2.5;8.9;50.0
Spektrum 1 {117};4.32;-18.467;3.3;34.3;1.9;2.1;8.4;50.0
Spektrum 1 {118};8.819;-18.467;3.3;35.8;1.3;1.9;7.6;50.0
Spektrum 1 {119};13.32;-18.467;3.5;37.0;1.2;1.7;6.6;50.0
Spektrum 1 {120};17.818;-18.467;3.4;38.1;0.9;1.7;6.0;50.0
Spektrum 1 {121};22.32;-18.467;3.5;38.5;1.1;1.7;5.2;50.0
Spektrum 1 {122};26.82;-18.467;3.5;39.5;1.0;1.6;4.4;50.0
Spektrum 1 {123};31.32;-18.467;3.4;40.2;0.9;1.4;4.1;50.0
Spektrum 1 {124};35.82;-18.467;3.5;41.0;0.7;1.4;3.5;50.0
Spektrum 1 {125};40.318;-18.467;3.3;41.7;0.7;1.2;3.2;50.0
Spektrum 1 {127};-45.167;-13.964;2.8;19.5;6.0;3.7;18.0;50.0
Spektrum 1 {128};-40.672;-13.964;2.8;20.6;5.4;3.8;17.4;50.0
Spektrum 1 {129};-36.17;-13.964;2.9;21.8;5.1;3.7;16.5;50.0
Spektrum 1 {130};-31.67;-13.964;2.7;23.9;4.2;3.5;15.7;50.0
Spektrum 1 {131};-27.171;-13.964;2.9;25.1;3.8;3.5;14.6;50.0
Spektrum 1 {132};-22.67;-13.964;3.5;26.2;3.5;3.7;13.2;50.0
Spektrum 1 {133};-18.168;-13.964;3.5;27.5;3.1;3.5;12.5;50.0
Spektrum 1 {134};-13.669;-13.964;3.7;28.9;2.7;3.2;11.5;50.0
Spektrum 1 {135};-9.169;-13.964;3.7;30.5;2.5;2.8;10.5;50.0
Spektrum 1 {136};-4.668;-13.964;3.6;31.8;2.3;2.7;9.6;50.0
Spektrum 1 {137};-0.168;-13.964;3.6;32.8;1.9;2.7;9.0;50.0
Spektrum 1 {138};4.319;-13.964;3.6;34.2;1.9;2.3;8.0;50.0
Spektrum 1 {139};8.819;-13.964;3.8;35.4;1.7;2.2;7.0;50.0
Spektrum 1 {140};13.319;-13.964;3.6;36.5;1.9;1.9;6.1;50.0
Spektrum 1 {141};17.819;-13.964;3.7;37.7;1.2;1.9;5.5;50.0
Spektrum 1 {142};22.32;-13.964;3.9;38.3;0.8;1.9;5.2;50.0
Spektrum 1 {143};26.819;-13.964;3.8;39.1;1.0;1.7;4.4;50.0
Spektrum 1 {144};31.32;-13.964;3.7;39.9;1.0;1.5;3.9;50.0
Spektrum 1 {145};35.819;-13.964;3.7;41.0;0.8;1.3;3.2;50.0
Spektrum 1 {146};40.319;-13.964;3.8;41.4;0.7;1.3;2.9;50.0
Spektrum 1 {147};44.819;-13.964;4.1;59.7;0.3;-2.4;-11.8;50.0
Spektrum 1 {148};-45.169;-9.466;3.1;19.1;6.2;4.4;17.3;50.0
Spektrum 1 {149};-40.67;-9.466;2.9;20.3;5.7;4.5;16.6;50.0
Spektrum 1 {150};-36.171;-9.466;3.0;21.9;5.2;3.9;15.9;50.0
Spektrum 1 {151};-31.671;-9.466;3.4;22.8;4.5;4.5;14.8;50.0
Spektrum 1 {152};-27.171;-9.466;3.4;24.3;4.5;3.8;14.0;50.0
Spektrum 1 {153};-22.669;-9.466;3.2;25.6;4.0;3.9;13.2;50.0
Spektrum 1 {154};-18.17;-9.466;3.6;27.2;3.6;3.8;11.9;50.0
Spektrum 1 {155};-13.669;-9.466;3.8;28.8;3.1;3.7;10.6;50.0
Spektrum 1 {156};-9.169;-9.466;3.6;30.4;2.7;3.3;9.9;50.0
Spektrum 1 {157};-4.668;-9.466;3.9;31.2;2.6;3.1;9.2;50.0
Spektrum 1 {158};-0.17;-9.466;3.9;32.7;2.1;2.7;8.6;50.0
Spektrum 1 {159};4.318;-9.466;4.1;33.9;1.9;2.8;7.3;50.0
Spektrum 1 {160};8.819;-9.466;3.6;35.3;1.6;2.7;6.8;50.0
Spektrum 1 {161};13.32;-9.466;4.1;36.0;1.5;2.3;6.2;50.0
Spektrum 1 {162};17.821;-9.466;4.1;37.0;1.3;2.3;5.3;50.0
Spektrum 1 {163};22.32;-9.466;4.1;37.9;1.0;2.1;4.8;50.0
Spektrum 1 {164};26.82;-9.466;4.0;39.1;0.7;1.9;4.2;50.0
Spektrum 1 {165};31.318;-9.466;4.0;40.0;0.8;1.6;3.7;50.0
Spektrum 1 {166};35.821;-9.466;4.0;40.4;0.8;1.5;3.2;50.0
Spektrum 1 {167};40.319;-9.466;3.9;41.3;0.6;1.4;2.8;50.0
Spektrum 1 {168};44.82;-9.466;4.1;41.8;0.3;1.4;2.4;50.0
Spektrum 1 {169};-45.167;-4.966;3.2;19.0;6.6;5.1;16.1;50.0
Spektrum 1 {170};-40.67;-4.966;3.5;20.3;5.5;5.1;15.6;50.0
Spektrum 1 {171};-36.17;-4.966;3.5;21.6;5.2;4.9;14.9;50.0
Spektrum 1 {172};-31.67;-4.966;3.6;22.9;4.7;4.6;14.3;50.0
Spektrum 1 {173};-27.171;-4.966;3.7;24.0;4.5;4.5;13.3;50.0
Spektrum 1 {174};-22.67;-4.966;3.6;25.5;4.3;4.6;12.0;50.0
Spektrum 1 {175};-18.17;-4.966;4.4;26.9;3.4;4.0;11.3;50.0
Spektrum 1 {176};-13.669;-4.966;3.9;28.2;3.1;4.2;10.7;50.0
Spektrum 1 {177};-9.171;-4.966;4.0;29.7;2.8;3.9;9.7;50.0
Spektrum 1 {178};-4.671;-4.966;3.9;31.1;2.8;3.2;9.0;50.0
Spektrum 1 {179};-0.169;-4.966;4.2;32.3;2.4;3.5;7.6;50.0
Spektrum 1 {180};4.32;-4.966;4.3;33.8;1.8;3.0;7.1;50.0
Spektrum 1 {181};8.82;-4.966;4.4;34.5;1.8;2.9;6.3;50.0
Spektrum 1 {182};13.319;-4.966;4.4;35.4;1.6;2.8;5.7;50.0
Spektrum 1 {183};17.819;-4.966;4.3;36.9;1.1;2.6;5.1;50.0
Spektrum 1 {184};22.32;-4.966;4.4;37.8;1.2;2.1;4.6;50.0
Spektrum 1 {185};26.819;-4.966;4.4;38.6;0.9;2.3;3.9;50.0
Spektrum 1 {186};31.319;-4.966;4.5;39.0;1.1;2.1;3.3;50.0
Spektrum 1 {187};35.819;-4.966;4.3;40.0;0.8;1.8;3.1;50.0
Spektrum 1 {188};40.318;-4.966;4.4;40.4;0.9;1.4;2.9;50.0
Spektrum 1 {189};44.819;-4.966;4.4;40.8;1.0;1.4;2.4;50.0
Spektrum 1 {190};-45.168;-0.468;3.3;18.4;6.5;5.9;15.9;50.0
Spektrum 1 {191};-40.672;-0.468;3.7;20.0;6.1;5.7;14.5;50.0
Spektrum 1 {192};-36.17;-0.468;3.7;21.0;6.0;5.5;13.8;50.0
Spektrum 1 {193};-31.67;-0.468;4.2;22.0;5.2;5.2;13.3;50.0
Spektrum 1 {194};-27.169;-0.468;3.9;23.8;4.8;5.2;12.4;50.0
Spektrum 1 {195};-22.669;-0.468;4.3;25.4;4.0;5.1;11.3;50.0
Spektrum 1 {196};-18.169;-0.468;4.4;26.2;3.7;4.9;10.8;50.0
Spektrum 1 {197};-13.669;-0.468;4.3;28.5;3.3;4.5;9.4;50.0
Spektrum 1 {198};-9.17;-0.468;4.4;29.4;3.0;4.3;8.8;50.0
Spektrum 1 {199};-4.67;-0.468;4.6;30.4;2.5;3.8;8.6;50.0
Spektrum 1 {200};-0.169;-0.468;4.5;31.7;2.7;3.7;7.4;50.0
Spektrum 1 {201};4.32;-0.468;4.7;33.1;1.9;3.6;6.7;50.0
